Feature,Importance,Importance_Pct
Outlet_Type,0.41275125223832654,41.28
MRP_Segment,0.30388075584925583,30.39
Item_MRP,0.23444606487306596,23.44
Outlet_Age,0.026925941437666776,2.69
Outlet_Age_Group,0.013476654172676558,1.35
Outlet_Size,0.001666167307278827,0.17
Outlet_Location_Type,0.001476806774112821,0.15
Item_Visibility,0.0014643413601614108,0.15
Item_Type_Grouped,0.0010992975909968397,0.11
Item_Weight,0.0010487707098232077,0.1
Item_Fat_Content,0.0009218464355007838,0.09
Has_Visibility,0.0008421012511345194,0.08
